"level","input_value","QID","GeoNames","matchLabel","matchScore","matchReason","TGN","IDAI","OSM_Relation"
"BUNDESLAND","Thüringen","Q1205","2822542","Thüringen","1.0","Exact match via rdfs:label [global index] | 'Thüringen' -> 'Thüringen'","7003689","2052949","62366"
"BUNDESLAND","Sachsen-Anhalt","Q1206","2842565","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","7003687","2044275","62607"
"BUNDESLAND","Sachsen","Q1202","2842566","Sachsen","1.0","Exact match via rdfs:label [global index] | 'Sachsen' -> 'Sachsen'","7003685","2315107","62467"
"BUNDESLAND","Brandenburg","Q1208","2945356","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","7000096","2048409","62504"
"BUNDESLAND","Woj. Lubuskie","Q54157","3337494","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","","","130969"
"BUNDESLAND","Woj. Zachodniopomorskie","Q54188","3337499","zachodniopomorskie","1.0","Exact match via skos:altLabel [global index] | 'Zachodniopomorskie' -> 'zachodniopomorskie' | [normalised: stripped -> 'Zachodniopomorskie']","","","104401"
"BUNDESLAND","Woj. Wielkopolskie","Q54187","3337498","wielkopolskie","1.0","Exact match via skos:altLabel [global index] | 'Wielkopolskie' -> 'wielkopolskie' | [normalised: stripped -> 'Wielkopolskie']","7024119","","130971"
"BUNDESLAND","Woj. Dolnośląskie","Q54150","3337492","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","","","224457"
"BUNDESLAND","Woj. Opolskie","Q54171","3337495","opolskie","1.0","Exact match via skos:altLabel [global index] | 'Opolskie' -> 'opolskie' | [normalised: stripped -> 'Opolskie']","","","224460"
"BUNDESLAND","Woj. Małopolskie","Q54159","858786","małopolskie","1.0","Exact match via skos:altLabel [global index] | 'Małopolskie' -> 'małopolskie' | [normalised: stripped -> 'Małopolskie']","7024127","","224459"
"BUNDESLAND","Woj. Śląskie","Q54181","3337497","śląskie","1.0","Direct override | 'Woj. Śląskie' -> QID=Q54181 | [stripped -> 'Śląskie'; override -> QID=Q54181]","","","224462"
"BUNDESLAND","Woj. Kujawsko-Pomorskie","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","","","223407"
"BUNDESLAND","Woj. Pomorskie","Q54180","3337496","pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Pomorskie' -> 'pomorskie' | [normalised: stripped -> 'Pomorskie']","7024115","","130975"
"BUNDESLAND","Woj. Warmińsko-Mazurskie","Q54184","858791","warmińsko-mazurskie","1.0","Exact match via skos:altLabel [global index] | 'Warmińsko-Mazurskie' -> 'warmińsko-mazurskie' | [normalised: stripped -> 'Warmińsko-Mazurskie']","","","223408"
"BUNDESLAND","MVP","Q1196","2872567","Mecklenburg-Vorpommern","1.0","Exact match via rdfs:label [global index] | 'Mecklenburg-Vorpommern' -> 'Mecklenburg-Vorpommern' | [normalised: alias 'MVP' -> 'Mecklenburg-Vorpommern']","7000094","2049592","28322"
"GEMEINDE","Gmina Poznań","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Gmina Kłodawa","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Zwenkau","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Elsterwerda","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Schmielsdorf","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Buchhain","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Kaiserpfalz","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Lanitz-Hasseltal","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Teuchern","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Kretzschau","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Grube","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Meichow","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Kerkow","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Angermünde","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Herzsprung","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Gramzow","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Grünow bei Schönermark","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Flemsdorf","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Berkholz zu Berkholz-Meyenburg","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Gartz","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Blankenburg","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Brüssow","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Niederlandin","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Prenzlau","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Biesenbrow","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Schönfeld bei Prenzlau","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Dobberzin","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Felchow","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Gellmersdorf","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Görlsdorf","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Günterberg","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Hohenlandin","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Schmargendorf","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Schönermark","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Staffelde","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Wartin","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Fürstenwerder","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Gollmitz","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Schenkenberg","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Wollschow","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Schwedt","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Knehden","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Kreuzkrug","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Petersdorf","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Templin","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Lychen","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Zichow","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Herzfelde","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Carmzow","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Bandelow","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Grünberg","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Groß Dölln","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Crussow","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Zollchow","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Grünow bei Prenzlau","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Klinkow","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Schwaneberg","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Bietikow","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Potzlow","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Neuendorf","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Gmina Raciborz","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Merzdorf","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Wusterhausen (Dosse)","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Lohm","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
"GEMEINDE","Zechliner Hütte","","","","","No match in Stage 1 (fuzzy) or Stage 2 (transitive P131+)","","",""
