"quelle_georef","QID_quelle_georef","katalognr","fst_id","fst_name","gemeinde","GEMEINDE_QID","GEMEINDE_GeoNames","GEMEINDE_TGN","GEMEINDE_IDAI","GEMEINDE_OSM_Relation","GEMEINDE_matchLabel","GEMEINDE_matchScore","GEMEINDE_matchReason","kreis","KREIS_QID","KREIS_GeoNames","KREIS_TGN","KREIS_IDAI","KREIS_OSM_Relation","KREIS_matchLabel","KREIS_matchScore","KREIS_matchReason","bundesland","BUNDESLAND_QID","BUNDESLAND_GeoNames","BUNDESLAND_TGN","BUNDESLAND_IDAI","BUNDESLAND_OSM_Relation","BUNDESLAND_matchLabel","BUNDESLAND_matchScore","BUNDESLAND_matchReason","land","LAND_QID","LAND_GeoNames","LAND_TGN","LAND_IDAI","LAND_OSM_Relation","LAND_matchLabel","LAND_matchScore","LAND_matchReason","kultur","entdeckung","QID_entdeckung","publikation_arch","QID_publikation","fundstellenart","QID_fundstellenart","genauigkeit_m","FID","methode","quellen_typ","methodenbeschr","wgs84_x","wgs84_y","dating_start","dating_certainty_start","dating_end","dating_certainty_end","dating_method","dating_certainty_range","dating_perio.do","dating_perio.do_match","sherd"
"LfDA Sachsen-Anhalt","Q1802049","55","444","Tüngeda","Behringen","Q704400","3207125","","","","Behringen","1.0","Transitive P131+ exact match | 'Behringen' -> 'Behringen'","Wartburgkreis","Q7866","6547388","","","62616","Wartburgkreis","1.0","Exact match via rdfs:label [global index] | 'Wartburgkreis' -> 'Wartburgkreis'","Thüringen","Q1205","2822542","7003689","2052949","62366","Thüringen","1.0","Exact match via rdfs:label [global index] | 'Thüringen' -> 'Thüringen'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","SBK","Lesefunde","Q1144458","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","1","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","10.58","51.03","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","34","149","Goldbach","Nessetal","Q59775089","12032331","","","9251482","Nessetal","1.0","Exact match via rdfs:label [global index] | 'Nessetal' -> 'Nessetal'","Gotha","Q7869","","","","","Landkreis Gotha","1.0","Direct override | 'Gotha' -> QID=Q7869 | [override -> QID=Q7869]","Thüringen","Q1205","2822542","7003689","2052949","62366","Thüringen","1.0","Exact match via rdfs:label [global index] | 'Thüringen' -> 'Thüringen'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","2","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","10.66","50.98","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","75","388","Schlotheim","Nottertal-Heilinger Höhen","Q71166816","12166102","","","10519435","Nottertal-Heilinger Höhen","1.0","Exact match via rdfs:label [global index] | 'Nottertal-Heilinger Höhen' -> 'Nottertal-Heilinger Höhen'","Unstrut-Hainich-Kreis","Q7864","6547389","","","62424","Unstrut-Hainich-Kreis","1.0","Exact match via rdfs:label [global index] | 'Unstrut-Hainich-Kreis' -> 'Unstrut-Hainich-Kreis'","Thüringen","Q1205","2822542","7003689","2052949","62366","Thüringen","1.0","Exact match via rdfs:label [global index] | 'Thüringen' -> 'Thüringen'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","3","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","10.66","51.24","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","463","179","Halberstadt 2","Halberstadt","Q7072","6550926","7012317","","1352956","Halberstadt","1.0","Exact match via rdfs:label [global index] | 'Halberstadt' -> 'Halberstadt'","Landkreis Harz","Q6087","","","","","Landkreis Harz","1.0","Direct override | 'Landkreis Harz' -> QID=Q6087 | [stripped -> 'Harz'; override -> QID=Q6087]","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","4","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.06","51.87","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","139","40","Bilzingsleben 9","Knidelbrück","Q530154","12032320","1037065","","9206415","Kindelbrück","0.9091","Fuzzy match (score=0.91) via rdfs:label [global index] | 'Knidelbrück' -> 'Kindelbrück'","Sömmerda","Q7865","","","","","Landkreis Sömmerda","1.0","Direct override | 'Sommerda' -> QID=Q7865 | [alias 'Sommerda' -> 'Sömmerda'; override -> QID=Q7865]","Thüringen","Q1205","2822542","7003689","2052949","62366","Thüringen","1.0","Exact match via rdfs:label [global index] | 'Thüringen' -> 'Thüringen'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","5","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.06","51.29","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"W. Schier persönl. Kommunikation","Q15445052","","360","Quedlinburg KGA 2","Quedlinburg","Q40623","6551148","","","153832","Quedlinburg","1.0","Exact match via rdfs:label [global index] | 'Quedlinburg' -> 'Quedlinburg'","Landkreis Harz","Q6087","","","","","Landkreis Harz","1.0","Direct override | 'Landkreis Harz' -> QID=Q6087 | [stripped -> 'Harz'; override -> QID=Q6087]","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","SBK","Ausgrabung","Q959782","","","Kreisgrabenanlage","Q1787688","0","6","Übernahme aus externer Datenbank","Expertenwissen","Koordinaten von Kollegen erhalten","11.11","51.81","-4735","+/- 10 years","-4550","+/- 10 years","Q173412","high certainty due to excessive radiocarbon dating and Bayesian modelling","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","380","358","Quedlinburg 24","Quedlinburg","Q40623","6551148","","","153832","Quedlinburg","1.0","Exact match via rdfs:label [global index] | 'Quedlinburg' -> 'Quedlinburg'","Landkreis Harz","Q6087","","","","","Landkreis Harz","1.0","Direct override | 'Landkreis Harz' -> QID=Q6087 | [stripped -> 'Harz'; override -> QID=Q6087]","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","7","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.17","51.81","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"W. Schier persönl. Kommunikation","Q15445052","","359","Quedlinburg KGA 1","Quedlinburg","Q40623","6551148","","","153832","Quedlinburg","1.0","Exact match via rdfs:label [global index] | 'Quedlinburg' -> 'Quedlinburg'","Landkreis Harz","Q6087","","","","","Landkreis Harz","1.0","Direct override | 'Landkreis Harz' -> QID=Q6087 | [stripped -> 'Harz'; override -> QID=Q6087]","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","SBK","Ausgrabung","Q959782","Schier et al. 2023","Q139555255","Kreisgrabenanlage","Q1787688","0","8","Übernahme aus externer Datenbank","Expertenwissen","Koordinaten von Kollegen erhalten","11.18","51.81","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","161","138","Gatersleben 24","Seeland","Q50856","7602667","","","390044","Seeland","1.0","Exact match via rdfs:label [global index] | 'Seeland' -> 'Seeland'","Salzlandkreis","Q6081","2950072","","2044961","62502","Salzlandkreis","1.0","Exact match via rdfs:label [global index] | 'Salzlandkreis' -> 'Salzlandkreis'","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","0","9","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.29","51.82","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","96","278","Mellingen","Mellingen","Q684601","6550263","","","2857008","Mellingen","1.0","Exact match via rdfs:label [global index] | 'Mellingen' -> 'Mellingen'","Weimarer Land","Q7879","","","","","Weimarer Land","1.0","Direct override | 'Weimarer Land' -> QID=Q7879 | [override -> QID=Q7879]","Thüringen","Q1205","2822542","7003689","2052949","62366","Thüringen","1.0","Exact match via rdfs:label [global index] | 'Thüringen' -> 'Thüringen'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","100","10","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.41","50.93","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","10","320","Oßmanstedt","Weimar","Q3955","","","","","Weimar","1.0","Direct override | 'Weimar' -> QID=Q3955 | [override -> QID=Q3955]","Weimarer Land","Q7879","","","","","Weimarer Land","1.0","Direct override | 'Weimarer Land' -> QID=Q7879 | [override -> QID=Q7879]","Thüringen","Q1205","2822542","7003689","2052949","62366","Thüringen","1.0","Exact match via rdfs:label [global index] | 'Thüringen' -> 'Thüringen'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","11","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.42","51.02","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","362","279","Memleben 1","Kaiserpfalz","Q706307","7602619","","","2354399","Kaiserpfalz","1.0","Transitive P131+ exact match | 'Kaiserpfalz' -> 'Kaiserpfalz'","Burgenlandkreis","Q6102","","","","","Burgenlandkreis","1.0","Direct override | 'Burgenlandkreis' -> QID=Q6102 | [override -> QID=Q6102]","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","12","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.5","51.27","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","506","261","Löderburg","Staßfurt","Q525409","6551145","1037771","","82601","Staßfurt","1.0","Exact match via rdfs:label [global index] | 'Staßfurt' -> 'Staßfurt'","Salzlandkreis","Q6081","2950072","","2044961","62502","Salzlandkreis","1.0","Exact match via rdfs:label [global index] | 'Salzlandkreis' -> 'Salzlandkreis'","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","250","13","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.54","51.88","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kaufmann 1976","Q139304616","220","182","Helfta 65","Lutherstadt Eilsleben","Q484870","","","","","Lutherstadt Eisleben","1.0","Direct override | 'Lutherstadt Eilsleben' -> QID=Q484870 | [stripped -> 'Eilsleben'; override -> QID=Q484870]","Mansfeld-Südharz","Q6092","","","","","Landkreis Mansfeld-Südharz","1.0","Direct override | 'Mansfeld-Südharz' -> QID=Q6092 | [override -> QID=Q6092]","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","SBK","Ausgrabung","Q959782","Kaufmann 1976","Q139304616","unbek.","Q59496158","50","14","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.56","51.5","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"LfDA Sachsen-Anhalt","Q1802049","534","201","Jersleben 2","Niedere Börde","Q554720","6559284","","","1286651","Niedere Börde","1.0","Exact match via rdfs:label [global index] | 'Niedere Börde' -> 'Niedere Börde'","Landkreis Börde","Q6064","","","","","Landkreis Börde","1.0","Direct override | 'Landkreis Börde' -> QID=Q6064 | [stripped -> 'Börde'; override -> QID=Q6064]","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","SBK","unbek.","","Kaufmann 1976","Q139304616","unbek.","Q59496158","500","15","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.56","52.24","-4800","+/- 100 years","-4750","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
