"FID catalogue Schmidt 2026"|"GEMEINDE"|"KREIS"|"BUNDESLAND"|"LAND"
1|"Behringen"|"Wartburgkreis"|"Thüringen"|"Deutschland"
2|"Nessetal"|"Gotha"|"Thüringen"|"Deutschland"
3|"Nottertal-Heilinger Höhen"|"Unstrut-Hainich-Kreis"|"Thüringen"|"Deutschland"
4|"Halberstadt"|"Landkreis Harz"|"Sachsen-Anhalt"|"Deutschland"
5|"Knidelbrück"|"Sommerda"|"Thüringen"|"Deutschland"
6|"Quedlinburg"|"Landkreis Harz"|"Sachsen-Anhalt"|"Deutschland"
7|"Quedlinburg"|"Landkreis Harz"|"Sachsen-Anhalt"|"Deutschland"
8|"Quedlinburg"|"Landkreis Harz"|"Sachsen-Anhalt"|"Deutschland"
9|"Seeland"|"Salzlandkreis"|"Sachsen-Anhalt"|"Deutschland"
10|"Mellingen"|"Weimarer Land"|"Thüringen"|"Deutschland"
11|"Weimar"|"Weimarer Land"|"Thüringen"|"Deutschland"
12|"Kaiserpfalz"|"Burgenlandkreis"|"Sachsen-Anhalt"|"Deutschland"
13|"Staßfurt"|"Salzlandkreis"|"Sachsen-Anhalt"|"Deutschland"
14|"Lutherstadt Eilsleben"|"Mansfeld-Südharz"|"Sachsen-Anhalt"|"Deutschland"
15|"Niedere Börde"|"Landkreis Börde"|"Sachsen-Anhalt"|"Deutschland"
16|"Barleben"|"Landkreis Börde"|"Sachsen-Anhalt"|"Deutschland"
17|"Magdeburg"|"Magdeburg"|"Sachsen-Anhalt"|"Deutschland"
18|"Bernburg"|"Salzlandkreis"|"Sachsen-Anhalt"|"Deutschland"
19|"Lanitz-Hasseltal"|"Burgenlandkreis"|"Sachsen-Anhalt"|"Deutschland"
20|"Calbe"|"Salzlandkreis"|"Sachsen-Anhalt"|"Deutschland"
21|"Gommern"|"Jerichower Land"|"Sachsen-Anhalt"|"Deutschland"
22|"Teuchern"|"Burgenlandkreis"|"Sachsen-Anhalt"|"Deutschland"
23|"Petersburg"|"Saalekreis"|"Sachsen-Anhalt"|"Deutschland"
24|"Schkopau"|"Saalekreis"|"Sachsen-Anhalt"|"Deutschland"
25|"Teuchern"|"Burgenlandkreis"|"Sachsen-Anhalt"|"Deutschland"
26|"Köthen"|"Anhalt-Bitterfeld"|"Sachsen-Anhalt"|"Deutschland"
27|"Schkopau"|"Saalekreis"|"Sachsen-Anhalt"|"Deutschland"
28|"Kretzschau"|"Burgenlandkreis"|"Sachsen-Anhalt"|"Deutschland"
29|"Zörbig"|"Anhalt-Bitterfeld"|"Sachsen-Anhalt"|"Deutschland"
30|"Gera"|"Gera"|"Thüringen"|"Deutschland"
31|"Zwenkau"|"Leipzig-Land"|"Sachsen"|"Deutschland"
