"level","input_value","QID","GeoNames","matchLabel","matchScore","matchReason","TGN","IDAI","OSM_Relation"
"BUNDESLAND","Thüringen","Q1205","2822542","Thüringen","1.0","Exact match via rdfs:label [global index] | 'Thüringen' -> 'Thüringen'","7003689","2052949","62366"
"BUNDESLAND","Sachsen-Anhalt","Q1206","2842565","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","7003687","2044275","62607"
"BUNDESLAND","Sachsen","Q1202","2842566","Sachsen","1.0","Exact match via rdfs:label [global index] | 'Sachsen' -> 'Sachsen'","7003685","2315107","62467"
"BUNDESLAND","Brandenburg","Q1208","2945356","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","7000096","2048409","62504"
"BUNDESLAND","Woj. Lubuskie","Q54157","3337494","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","","","130969"
"BUNDESLAND","Woj. Zachodniopomorskie","Q54188","3337499","zachodniopomorskie","1.0","Exact match via skos:altLabel [global index] | 'Zachodniopomorskie' -> 'zachodniopomorskie' | [normalised: stripped -> 'Zachodniopomorskie']","","","104401"
"BUNDESLAND","Woj. Wielkopolskie","Q54187","3337498","wielkopolskie","1.0","Exact match via skos:altLabel [global index] | 'Wielkopolskie' -> 'wielkopolskie' | [normalised: stripped -> 'Wielkopolskie']","7024119","","130971"
"BUNDESLAND","Woj. Dolnośląskie","Q54150","3337492","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","","","224457"
"BUNDESLAND","Woj. Opolskie","Q54171","3337495","opolskie","1.0","Exact match via skos:altLabel [global index] | 'Opolskie' -> 'opolskie' | [normalised: stripped -> 'Opolskie']","","","224460"
"BUNDESLAND","Woj. Małopolskie","Q54159","858786","małopolskie","1.0","Exact match via skos:altLabel [global index] | 'Małopolskie' -> 'małopolskie' | [normalised: stripped -> 'Małopolskie']","7024127","","224459"
"BUNDESLAND","Woj. Śląskie","Q54181","3337497","śląskie","1.0","Direct override | 'Woj. Śląskie' -> QID=Q54181 | [stripped -> 'Śląskie'; override -> QID=Q54181]","","","224462"
"BUNDESLAND","Woj. Kujawsko-Pomorskie","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","","","223407"
"BUNDESLAND","Woj. Pomorskie","Q54180","3337496","pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Pomorskie' -> 'pomorskie' | [normalised: stripped -> 'Pomorskie']","7024115","","130975"
"BUNDESLAND","Woj. Warmińsko-Mazurskie","Q54184","858791","warmińsko-mazurskie","1.0","Exact match via skos:altLabel [global index] | 'Warmińsko-Mazurskie' -> 'warmińsko-mazurskie' | [normalised: stripped -> 'Warmińsko-Mazurskie']","","","223408"
"BUNDESLAND","MVP","Q1196","2872567","Mecklenburg-Vorpommern","1.0","Exact match via rdfs:label [global index] | 'Mecklenburg-Vorpommern' -> 'Mecklenburg-Vorpommern' | [normalised: alias 'MVP' -> 'Mecklenburg-Vorpommern']","7000094","2049592","28322"
"KREIS","pow. Gorẃski","Q637105","7530815","powiat jaworski","0.8276","Fuzzy match (score=0.83) via rdfs:label [global index] | 'Powiat Gorẃski' -> 'powiat jaworski'","","","451358"
"KREIS","pow. Kościan","Q133188","7531076","powiat kościański","0.8387","Fuzzy match (score=0.84) via rdfs:label [global index] | 'Powiat Kościan' -> 'powiat kościański'","","","2690735"
"KREIS","pow. Głogówski","Q631754","7530806","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'","","","451316"
"KREIS","pow. Poznanski","Q101575","7530994","powiat poznański","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Poznanski' -> 'powiat poznański'","","","2406440"
"KREIS","Kreis Rügen","Q2909","","Vorpommern-Rügen","1.0","Direct override | 'Kreis Rügen' -> QID=Q2909 | [stripped -> 'Rügen'; override -> QID=Q2909]","","",""
"KREIS","Leipzig-Land","Q1323208","","Landkreis Leipzig-Land","1.0","Direct override | 'Leipzig-Land' -> QID=Q1323208 | [override -> QID=Q1323208]","","",""
"KREIS","Hoyerswerda","Q571947","","Landkreis Hoyerswerda","1.0","Direct override | 'Hoyerswerda' -> QID=Q571947 | [override -> QID=Q571947]","","",""
"KREIS","Görlitz","Q6317","","Landkreis Görlitz","1.0","Direct override | 'Görlitz' -> QID=Q6317 | [override -> QID=Q6317]","","",""
"KREIS","Wartburgkreis","Q7866","6547388","Wartburgkreis","1.0","Exact match via rdfs:label [global index] | 'Wartburgkreis' -> 'Wartburgkreis'","","","62616"
"KREIS","Gotha","Q7869","","Landkreis Gotha","1.0","Direct override | 'Gotha' -> QID=Q7869 | [override -> QID=Q7869]","","",""
"KREIS","Unstrut-Hainich-Kreis","Q7864","6547389","Unstrut-Hainich-Kreis","1.0","Exact match via rdfs:label [global index] | 'Unstrut-Hainich-Kreis' -> 'Unstrut-Hainich-Kreis'","","","62424"
"KREIS","Sommerda","Q7865","","Landkreis Sömmerda","1.0","Direct override | 'Sommerda' -> QID=Q7865 | [alias 'Sommerda' -> 'Sömmerda'; override -> QID=Q7865]","","",""
"KREIS","Weimarer Land","Q7879","","Weimarer Land","1.0","Direct override | 'Weimarer Land' -> QID=Q7879 | [override -> QID=Q7879]","","",""
"KREIS","Gera","Q706112","2921231","Gera","1.0","Exact match via rdfs:label [global index] | 'Gera' -> 'Gera'","7012815","","62671"
"KREIS","Landkreis Harz","Q6087","","Landkreis Harz","1.0","Direct override | 'Landkreis Harz' -> QID=Q6087 | [stripped -> 'Harz'; override -> QID=Q6087]","","",""
"KREIS","Salzlandkreis","Q6081","2950072","Salzlandkreis","1.0","Exact match via rdfs:label [global index] | 'Salzlandkreis' -> 'Salzlandkreis'","","2044961","62502"
"KREIS","Burgenlandkreis","Q14920405","3302156","Burgenlandkreis","1.0","Exact match via rdfs:label [global index] | 'Burgenlandkreis' -> 'Burgenlandkreis'","","","62639"
"KREIS","Mansfeld-Südharz","Q6092","","Landkreis Mansfeld-Südharz","1.0","Direct override | 'Mansfeld-Südharz' -> QID=Q6092 | [override -> QID=Q6092]","","",""
"KREIS","Landkreis Börde","Q6064","","Landkreis Börde","1.0","Direct override | 'Landkreis Börde' -> QID=Q6064 | [stripped -> 'Börde'; override -> QID=Q6064]","","",""
"KREIS","Magdeburg","Q1733","2874544","Magdeburg","1.0","Exact match via rdfs:label [global index] | 'Magdeburg' -> 'Magdeburg'","7004456","","62481"
"KREIS","Jerichower Land","Q6068","3302158","Jerichower Land","1.0","Exact match via skos:altLabel [global index] | 'Jerichower Land' -> 'Jerichower Land'","7076457","","62477"
"KREIS","Saalekreis","Q6098","2842671","Saalekreis","1.0","Exact match via rdfs:label [global index] | 'Saalekreis' -> 'Saalekreis'","","","62473"
"KREIS","Anhalt-Bitterfeld","Q6071","","Landkreis Anhalt-Bitterfeld","1.0","Direct override | 'Anhalt-Bitterfeld' -> QID=Q6071 | [override -> QID=Q6071]","","",""
"KREIS","Jessen","Q6075","","Landkreis Jessen","1.0","Direct override | 'Jessen' -> QID=Q6075 | [override -> QID=Q6075]","","",""
"KREIS","Havelland","Q897270","2908638","Havelland","1.0","Exact match via rdfs:label [global index] | 'Havelland' -> 'Havelland'","1112006","","62413"
"KREIS","Teltow-Fläming","Q6146","","Landkreis Teltow-Fläming","1.0","Direct override | 'Teltow-Fläming' -> QID=Q6146 | [override -> QID=Q6146]","","",""
"KREIS","Dahme-Spreewald","Q6173","3249080","Dahme-Spreewald","1.0","Exact match via skos:altLabel [global index] | 'Dahme-Spreewald' -> 'Dahme-Spreewald'","7076944","","62376"
"KREIS","Uckermark","Q338635","2820521","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","","",""
"KREIS","Oder-Spree","Q6178","3249086","Oder-Spree","1.0","Exact match via skos:altLabel [global index] | 'Oder-Spree' -> 'Oder-Spree'","7076938","","62628"
"KREIS","Märkisch-Oderland","Q6181","3249083","Märkisch-Oderland","1.0","Exact match via skos:altLabel [global index] | 'Märkisch-Oderland' -> 'Märkisch-Oderland'","7076941","","318248"
"KREIS","Spree-Neiße","Q6165","3249089","Spree-Neiße","1.0","Exact match via skos:altLabel [global index] | 'Spree-Neiße' -> 'Spree-Neiße'","7076935","","62683"
"KREIS","Frankfurt (Oder)","Q4024","2925535","Frankfurt (Oder)","1.0","Exact match via rdfs:label [global index] | 'Frankfurt (Oder)' -> 'Frankfurt (Oder)'","7005972","","62523"
"KREIS","Potsdam-Mittelmark","Q6142","2852456","Potsdam-Mittelmark","1.0","Exact match via skos:altLabel [global index] | 'Potsdam-Mittelmark' -> 'Potsdam-Mittelmark'","7120830","","62353"
"KREIS","Ostprignitz-Ruppin","Q6125","3249087","Ostprignitz-Ruppin","1.0","Exact match via skos:altLabel [global index] | 'Ostprignitz-Ruppin' -> 'Ostprignitz-Ruppin'","7076937","","62574"
"KREIS","Potsdam","Q1711","7602560","Potsdam","1.0","Exact match via rdfs:label [global index] | 'Potsdam' -> 'Potsdam'","7004463","","62369"
"KREIS","Brandenburg (Havel)","Q3931","","Brandenburg an der Havel","1.0","Direct override | 'Brandenburg (Havel)' -> QID=Q3931 | [override -> QID=Q3931]","","",""
"KREIS","Elbe-Elster","Q1325077","3249081","Elbe-Elster","1.0","Exact match via skos:altLabel [global index] | 'Elbe-Elster' -> 'Elbe-Elster'","7076943","","62505"
"KREIS","Oberhavel","Q6119","3249084","Oberhavel","1.0","Exact match via skos:altLabel [global index] | 'Oberhavel' -> 'Oberhavel'","7076940","","62488"
"KREIS","Barnim","Q268651","3249079","Barnim","1.0","Exact match via rdfs:label [global index] | 'Barnim' -> 'Barnim'","1111891","2048550","2218269"
"KREIS","Oberspreewald-Lausitz","Q6156","3249085","Oberspreewald-Lausitz","1.0","Exact match via skos:altLabel [global index] | 'Oberspreewald-Lausitz' -> 'Oberspreewald-Lausitz'","7076939","","62571"
"KREIS","Prignitz","Q6132","3249088","Prignitz","1.0","Exact match via rdfs:label [global index] | 'Prignitz' -> 'Prignitz'","7076936","","62738"
"KREIS","pow. Jaworski","Q637105","7530815","powiat jaworski","1.0","Exact match via rdfs:label [global index] | 'Powiat Jaworski' -> 'powiat jaworski'","","","451358"
